HouseAge,SquareFeet,MarketValue
33,1812,90000
32,1914,104400
32,1842,93300
33,1812,91000
32,1836,101900
33,2028,108500
32,1732,87600
33,1850,96000
32,1791,89200
33,1666,88400
32,1852,100800
32,1620,96700
32,1692,87500
32,2372,114000
32,2372,113200
33,1666,87500
32,2123,116100
32,1620,94700
32,1731,86400
32,1666,87100
28,1520,83400
27,1484,79800
28,1588,81500
28,1598,87100
28,1484,82600
28,1484,78800
28,1520,87600
27,1701,94200
28,1484,82000
28,1468,88100
28,1520,88100
27,1520,88600
27,1484,76600
28,1520,84400
27,1668,90900
28,1588,81000
28,1784,91300
27,1484,81300
27,1520,100700
28,1520,87200
27,1684,96700
27,1581,120700
